nimi;kirjeldus;id;registrikood;omanik
Loomahaiguste seroloogilised uuringud;Loomahaiguste seroloogilised uuringud;VETL-002;70000065;
Loomahaiguste bakterioloogilised uuringud;Loomahaiguste bakterioloogilised uuringud;VETL-001;70000065;
Asutuse / ettevõtte registreerimine Ehitisregistris;Asutuse registreerimine Ehitisregistri kasutajaks andmete lisamiseks ja menetlustes osalemiseks;MKM-062;70003158;
Ehitisregistri kasutajatugi;Info Ehitisregistri kasutamise ja ehitisregistri andmete kohta. Ehitisregistrit puudutavate teadete ja uudiste avalikustamine.;MKM-061;70003158;
Ehitise auditi lisamine Ehitisregistrisse;Ehitise auditi lisamine Ehitisregistris registreeritud ehitise dokumentide hulka;MKM-060;70003158;
Teabenõue Ehitisregistri andmete kohta;Masspäring mitme erineva ehitise andmete kohta;MKM-059;70003158;
Ehitusgeoloogilise uuringu esitamine Ehitisregistrisse;Ehitise asukoha iseloomustava ehitusgeoloogilise uuringu esitamine EhitisregistrisseEhitise asukoha iseloomustava ehitusgeoloogilise uuringu esitamine Ehitisregistrisse;MKM-058;70003158;
Ehitusgeodeetilise mõõdistuse esitamine Ehitisregistrisse;Ehitise asukohta iseloomustava ehitusgeodeetilise mõõdistuse esitamine Ehitisregistrisse;MKM-057;70003158;
Juhendmaterjalid Ehitisregistri kasutamiseks;Tekstilised juhendid ja videod Ehitisregistri toimingute läbiviimise kohta;MKM-056;70003158;
Ehitise ehitusdokumentatsiooni lisamine Ehitisregistrisse;Ehitamist kajastavate dokumentide (teostusjooniste, ehituspäevikute, kaetud tööde aktide, töökoosolekute protokollide, seadmete seadistus- ja katseprotokollide) ning ehitise hooldus- ja kasutusjuhendite esitamine Ehitisregistrisse;MKM-055;70003158;
Ehitise soojus- ja jahutusseadmete andmete lisamine Ehitisregistrisse;Ehitisregistris registreeritud hoonetele soojus- ja jahutusseadmete andmete lisamine;MKM-054;70003158;
Ehitisega seotud avalike dokumentide otsing;Ehitisregistris registreeritud hoonete ja rajatistega seotud menetletud dokumentide otsing (ehitisega seotud projekteerimistingimused, väljastatud load, kinnitatud taotlused).;MKM-053;70003158;
Ehitise otsing;Kuvatakse ehitise kasutamise otstarve ja pinnad, asukoht, konstruktsioonid ja materjalid, tehnilised andmed, ehitise osad, vallasomandi piirangud, dokumendid (sh load, teatised), viited, andmeprobleemid, soojus- ja jahutusseadmed, energiamärgis;MKM-052;70003158;
Taotluste ja teatiste esitamine Ehitisregistris;Andmete esitamise teatis, projekteerimistingimuste taotlus, ehitusloa taotlus, ehitusteatis, ehitamise alustamise teatis, kasutusloa taotlus, kasutusteatis, ehitise täieliku lammutamise teatis;MKM-050;70003158;
Patsientide tervisega seotud andmete teenus patsientidele;Tervise infosüsteemis olevate dokumentide vaatamise, sulgemise ja avamise võimaldamine, nende dokumentide kasutuse jälgimine (logid). Eesti Haigekassa andmekogudest retseptide ja raviarvete andmete nägemine. Tervisetõendi taotlemine. ;TERV-002;90009016;48812124721
GNSS-RTK püsijaamade võrk;GNSS-RTK püsijaamade  andmete kasutusse andmine;MAA-047;70003098;48812124722
Geodeetiliste punktide andmekogu;Geodeetiliste punktide andmekogu pidamine, andmete kaasajastamine, geodeetiliste andmete arhiveerimine ja levitamine.;MAA-046;70003098;48812124722
Teabe avalikustamine;Tööinspektsiooni teabeosakond korraldab teabe avalikustamise ja haldab veebilehte;TI-030;70001969;48812124723
Vaide menetlemine;Tööandja saab esitada vaide ettekirjutusele, Tööinspektsioon vastab sellele, vajadusel tühistab ettekirjutuse;TI-029;70001969;48812124724
Vihje Tööinspektsioonile;Vihjed töökeskkonna ja tööohutusega seotud õigusrikkumiste kohta;TI-028;70001969;
Kaebus Tööinspektsioonile;Kaebused töökeskkonna ja töösuhetega seotud õigusrikkumiste kohta ning kohtuvälise menetleja tegevuse peale.;TI-027;70001969;48812124725
Töökeskkonna konsultandi teenus;Tööandjal on võimalik Tööinspektsioonist kutsuda konsultant, kes viib tööandja juures läbi töökeskkonna konsultatsiooni töökeskkonna õigusaktide nõuete paremaks täitmiseks ja ohutu töökeskkonna kujundamiseks;TI-026;70001969;48812124726
Tööinspektsiooni nõustamisteenus;Töösuhete õigusalase nõustamisega annab Tööinspektsioon isikule selgitusi töösuhteid reguleerivate õigusaktide rakendamise kohta;TI-025;70001969;48812124727
Selgitustaotlus Tööinspektsioonile;Selgitustaotlusele vastamisel annab Tööinspektsioon isikule taotluses soovitud teabe või õigusalase selgituse või põhjendab selle andmisest keeldumist;TI-024;70001969;48812124728
Teabenõue Tööinspektsioonile;Tööinspektsioon kui teabevaldaja täidab teabenõude teabenõudja poolt soovitud viisil või keeldub sellest vastavalt seaduses sätestatud juhtudele;TI-023;70001969;48812124728
Tegevuse alustamise või tegevusala muutmise teatis;Tööandja teavitab Tööinspektsiooni oma tegevuse alustamisest või tegevusala muutmisest;TI-022;70001969;48812124729
Kantserogeensete või mutageensete kemikaalide käitlemise teade;Tööandja teavitab Tööinspektsiooni enne kantserogeenide või mutageenidega esmakordselt töö alustamist.;TI-021;70001969;48812124730
Geneetiliselt muundatud mikroorganismide kasutamisel toimunud õnnetusjuhtumi teade;Isik, kes vastutab geneetiliselt muundatud mikroorganismi ohutu kasutamise eest, teavitab õnnetusjuhtumist Tööinspektsiooni.;TI-020;70001969;48812124730
Geneetiliselt muundatud mikroorganismide (2. ohuklassi GMMO) esmakordse kasutamise teade koos loa taotlusega;Isik, kes vastutab geneetiliselt muundatud mikroorganismi ohutu kasutamise eest suletud keskkonnas, esitab Tööinspektsioonile loa taotluse ja esmakordse kasutamise teate.;TI-019;70001969;48812124730
Ehitustööde alustamise eelteade;Tööandja esitab Tööinspektsioonile eelteate ehitustöödega alustamise kohta;TI-018;70001969;48812124729
Bioloogiliste ohuteguritega seotud õnnetuse/ohuolukorra teade;Tööandja teatab Tööinspektsioonile juhtunud õnnetusest ja ohuolukorrast, millega kaasnes või oleks võinud kaasneda bioloogiliste ohutegurite leke keskkonda ning inimeste nakatumine või haigestumine.;TI-017;70001969;48812124730
Bioloogiliste ohutegurite käitlemise teatis;Tööandja teavitab Tööinspektsiooni, kui töös hakatakse kasutama uut 3. või 4. ohurühma kuuluvat tegurit ning kui töökeskkonnas tehakse olulisi muudatusi, mille tõttu eelmise teate sisu vananeb.;TI-016;70001969;48812124730
Bioloogilise ohuteguriga (2., 3., 4. ohuklass) esmakordse töö alustamise teade;Tööandja teavitab Tööinspektsiooni enne esmakordset töö alustamist 2., 3. või 4. ohurühma bioloogiliste ohuteguritega.;TI-015;70001969;48812124730
Asbestitööde alustamise teade;Tööandja esitab Tööinspektsioonile teate asbestitöödega alustamise kohta;TI-014;70001969;48812124729
Töökeskkonnanõukogu aruande esitamine;Tööandja töökeskkonnanõukogu teavitab Tööinspektsiooni oma viimase 12 kuu tegevusest;TI-013;70001969;48812124729
Töökeskkonnavoliniku valimise teatis;Tööandja teavitab Tööinspektsiooni valitud töökeskkonnavolinikest;TI-012;70001969;48812124729
Töökeskkonnaspetsialisti määramise teatis;Tööandja teavitab Tööinspektsiooni määratud töökeskkonnaspetsialistist;TI-011;70001969;48812124729
Töökeskkonnanõukogu moodustamise teatis;Tööandja teavitab Tööinspektsiooni töökeskkonnanõukogu moodustamisest;TI-010;70001969;48812124729
Tähtpäevaprogrammide tellimine;"Võimalus korraldada muuseumis lapse sünnipäevapidu; võimalus läbi viia pulmade pidulik kombetalitus";EPM-017;70002578;48812124731
Näituste korraldamine;AHHAA korraldab hariva sisuga interaktiivseid suuremaid ja väiksemaid näituseid. Näituseid korraldatakse nii oma majas kui väljaspool Tartut.;AHHA-009;90007572;
Riikliku keskkonnaseire programmi veebileht;Riikliku keskkonnaseire programmi veebilehel saab tutvuda seire allprogrammide seiretööde igaaastase aruandlusega ja muude keskkonnaseiret puudutavate materjalidega (nt Seirefoorumi ettekanded).;KKAG-040;70009540;48812124732
Teravilja ja teraviljasaaduste nõuetekohasuse tõendamine;Toote vastavuse tõendamine;PMK-007;70000042;48812124733
Tarbijakaitseameti nõuandetelefon;Nõuandetelefonil nõustatakse küsimustega,  mis on seotud tarbija õigustega.;TKA-011;70003247;48812124734
Tarbijakaitseameti vastuvõtt;Tarbijate ja ettevõtjate nõustamine Tarbijakaitseameti kontorites;TKA-010;70003247;48812124734
Avaldus tarbijavaidluste komisjonile;Esita tarbijavaidluste komisjonile avaldus, kui Sul on tekkinud kauplejaga vaidlus tehtud ostu osas ;TKA-009;70003247;48812124734
Kooskõlastuse taotlemine riigitee ja külgnevate katastriüksuste piiriprotokollidele ja piiride korrektuur;Vastavalt Maakatastriseadusele on vajalik piiri kooskõlastamine piirinaabriga. Piiride lahknevuse või huvide kattumise korral on vajalik olemasolevate piiride korrektuur.;MA-074;70001490;48812124735
Patsientide tervisega seotud andmete teenus tervishoiuteenuse osutajale;"Teenus võimaldab: pärida tervise infosüsteemis olevaid dokumente ja andmeid; menetleda patsiendi haigusjuhtu, teostada tervisekontrolli, väljastada tervisetõendeid";TERV-001;90009016;48812124721
Keskkonnakasutusega seotud aasta-aruannete esitamine;Vee erikasutusloa, välisõhu saasteloa või erisaasteloa, jäätmeloa või keskkonnakompleksloa omanikud peavad kord aastas esitama keskkonnakasutuse aasta-aruande;KKAG-039;70009540;48812124736
Töövaidluse lahendamine;Töövaidluskomisjon võtab vastu töövaidlusavaldusi, viib läbi menetluse (istungi koos osapooltega) ja teeb otsuse;TI-009;70001969;48812124737
Kutsehaigestumise uurimine;Töötervishoiu tööinspektor viib läbi uurimise ning teeb kokkuvõtte kutsehaigestumise põhjuste ja töökeskkonna vastavuse kohta õigusaktide nõuetele;TI-007;70001969;48812124730
Tööõnnetuse menetlemine;Tööinspektor tutvub tööandja uurimise tulemustega, viib vajadusel läbi töökeskkonna järelevalve ning teeb otsuse tööõnnetuse kohta (jah/ei) ning töökeskkonna vastavuse kohta õigusaktide nõuetele;TI-006;70001969;48812124738
Raskete või surmaga lõppenud tööõnnetuse uurimine;Tööinspektor-uurija viib läbi uurimise ning teeb kokkuvõtte tööõnnetuse põhjuste ning töökeskkonna vastavuse kohta õigusaktide nõuetele;TI-005;70001969;48812124738
Töösuhete järelevalve (sh sõidukijuhtide töö- ja puhkeaja järelevalve);Tööinspektor viib läbi järelevalvemenetluse ning teeb otsuse, kus näitab ära, kas töösuhted vastavad õigusaktide nõuetele;TI-004;70001969;48812124724
Töökeskkonna järelevalve ja isikukaitsevahendite turujärelevalve;Tööinspektor viib läbi järelevalvemenetluse ning teeb otsuse, kus näitab ära, kas töökeskkond vastab õigusaktide nõuetele.;TI-003;70001969;48812124729
Nõusoleku andmine alaealise töölevõtmiseks;Tööandja esitab taotluse alaealise töölevõtmiseks, tööinspektor-jurist viib läbi töökeskkonna ja töösuhete järelevalve ja annab/ei anna nõusoleku(t) alaealise töölevõtmiseks;TI-002;70001969;48812124724
Uue ehitise ülevaatus;Tööandja esitab taotluse valminud ehitise ülevaatuseks, tööinspektor viib läbi järelevalve ja tööandja saab otsuse ehitise vastavuse kohta töökeskkonna ohutusnõuetele.;TI-001;70001969;48812124729
Hüdrometeoroloogiliste andmete tellimine;Meteoroloogiliste (temperatuur, sademed, tuul jne) ja hüdroloogiliste (veetase, veetemperatuur, vooluhulk jne) andmete tellimine;KKAG-038;70009540;
Kontserdid;Eesti Riikliku Sümfooniaorkestri kontserttegevus;ERSO-001;90012610;
Operatiivsed hüdroloogilise seire tulemused;Igatunnised siseveekogude ja rannikumere veetaseme ja veetemperatuuri andmed;KKAG-037;70009540;48812124739
Taimekaitsevahendite turustamine ja kasutamine;PMA kontrollib taimekaitsevahendite turustamise ja kasutamise õiguspärasust.;PMA-035;70000071;48812124740
Taimekaitsevahendite turule lubamine;PMA teeb taotluse alusel toimeaine hindamise ja registreeringu, lubab taimekaitsevahendi turule või pikendab luba, annab vastastikuse tunnustamise või paralleelse kaubanduse loa, tunnustab katseüksused.;PMA-033;70000071;48812124740
Sortide registreerimine ja kaitse;Ettevõte esitab taotluse sordi registreerimiseks, sordi kaitse alla võtmiseks, sordi või säilitussordi sordilehte võtmiseks. PMA registreerib sordi ja tuntud puuvilja ja marjakultuurid, võtab sordi sordilehte.;PMA-032;70000071;48812124741
Taimekaitsevahendite, jälgelementide ja mükotoksiinide sisaldus määramine;"Taimekaitsevahendite, mikro- ja makroelementide, raskmetallide, mükotoksiinide ja üldtoksilisuse laboratoorne määramine; järelevalve ja erakliendi proovide analüüsid.";PMK-006;70000042;48812124742
Asulareovee puhastamise direktiivi nõuete täitmine Eestis;E-väljaanne (pdf). Kokkuvõte asulareovee puhastamise direktiivi nõuete täitmise kohta Eestis. Üle kahe aasta ilmuv ülevaade.;KKAG-036;70009540;48812124743
Laen MAKi rahastamisvahendist;Rahastamisvahendist finantseeritakse põllumajandustoodete tootmise ja töötlemise ning maaettevõtluse mitmekesistamise valdkonnas kavandatavaid investeeringuid, mis on jätkusuutlikud, kuid ei leia turult piisavalt rahastamisallikaid.;MESA-002;90000245;
Hüdroloogia aastaraamat;E-väljaanne (pdf). Aastaraamatus esitatakse lõppenud aasta hüdroloogiliste vaatluste ja mõõtmiste peamised tulemused. Iga-aastane väljaanne.;KKAG-035;70009540;48812124743
Meteoroloogia aastaraamat;E-väljaanne (pdf). Kokkuvõte antud aasta ilmastikust, Riigi Ilmateenistuse meteoroloogilisest vaatlusvõrgust, samuti kasutatud instrumentidest, muudatustest. Iga-aastane väljaanne.;KKAG-034;70009540;48812124743
Huvide deklaratsioon;Korruptsioonivastase seaduse alusel selleks kohustatud ametiisiku andmete töötlemine eesmärgiga teadvustada selle isiku ametikohustuste täitmist mõjutada võivad huvid.;JUM-056;70000898;48812124720
Eestis välisõhku eraldunud saasteainete heitkogused;Ülevaade välisõhku eraldunud saasteainete heitkogustest, mis pärinevad paiksetest, aga ka hajussaasteallikatest. Analüüsitud periood on alates aastast 1990 ja lõpeb värkseimate andmetega. Ilmub 3 aasta järel.;KKAG-033;70009540;48812124743
GMO kultuuride kasvatamine;GMO põllukultuuri käitleja esitab taotluse, PMA kontrollib andmeid  ja registreerib või ei registreeri GMO käitleja.;PMA-029;70000071;48812124741
Värske puu-ja köögivilja turustamine;PMA kontrollib värske puu- ja köögivilja vastavust turustamisstandarditele. Ettevõtja taotleb PMAlt vastavussertifikaati värske puu- ja köögivilja importimisel ja eksportimisel. PMA väljastab taotlejatele enesekontrolli load. ;PMA-026;70000071;48812124744
Avatud noortekeskuste toetamine;Avatud noortekeskuste tegevuse toetamine ja arendamine;ENTK-021;70005312;48812124745
Noorsootöö sisulise metoodilise arenduse teenus;Asutuse põhiülesandeks on noorsootöö sisuline arendamine, sh metoodiliste ja juhendmaterjalide loomine, tegevuste kvaliteedi hindamine, tegijate nõustamine, parimate praktikate vahendamine ning mõju seire;ENTK-020;70005312;48812124746
Noortelaagri teenus;Kloogaranna noortelaager pakub mitmeid võimalusi aktiivse puhkuse veetmiseks eelkõige noortele, kuid pakume võimalusi aastaringselt kasutamiseks ka noorteorganisatsioonidele, noorsootöö asutustele jt.;ENTK-019;70005312;48812124747
